City,Latitude,Longitude,Max-Temp,Humidity,Cloudiness,Wind Speed,Country,Date
lihula,58.6814,23.8453,37.0,92,100,4.0,EE,1619495234
ongole,15.5,80.05,87.89,55,2,5.26,IN,1619495234
najran,17.4924,44.1277,68.0,88,40,4.59,SA,1619495166
columbus,39.9612,-82.9988,62.6,36,1,9.22,US,1619494956
rogatica,43.8008,19.0025,46.4,93,40,3.44,BA,1619495235
brae,60.3964,-1.353,42.8,93,75,9.22,GB,1619495235
along,28.1667,94.7667,92.73,25,57,1.1,IN,1619495236
usinsk,65.9939,57.5281,33.89,99,100,8.77,RU,1619495236
esperance,-33.8667,121.9,80.6,22,100,16.11,AU,1619495170
aksu,41.1231,80.2644,67.42,18,3,6.33,CN,1619495237
kuusamo,65.9667,29.1833,30.2,69,0,3.44,FI,1619495237
nipawin,53.3668,-104.0009,53.6,46,90,16.11,CA,1619495237
vardo,70.3705,31.1107,30.2,74,75,5.75,NO,1619495233
kanalia,39.5,22.8833,54.0,93,20,2.3,GR,1619495238
coquimbo,-29.9533,-71.3436,59.0,77,90,3.44,CL,1619495238
kitui,-1.367,38.0106,63.43,96,99,2.59,KE,1619495239
tarakan,3.3,117.6333,84.2,79,75,8.05,ID,1619495239
mahebourg,-20.4081,57.7,75.2,94,75,12.66,MU,1619495240
bandarbeyla,9.4942,50.8122,83.26,71,57,4.34,SO,1619495240
chuy,-33.6971,-53.4616,52.41,84,0,7.31,UY,1619495240
nandu,22.8525,110.8233,71.15,94,100,3.62,CN,1619495241
seoul,37.5683,126.9778,64.4,48,0,6.91,KR,1619495241
salalah,17.0151,54.0924,80.6,74,40,2.3,OM,1619495242
carutapera,-1.195,-46.02,75.81,92,84,4.38,BR,1619495242
amuntai,-2.4177,115.2494,84.94,77,54,1.36,ID,1619495242
airai,-8.9266,125.4092,75.38,36,64,1.92,TL,1619495174
luangwa,-15.6167,30.4167,67.19,79,27,2.62,ZM,1619495244
tahoua,14.8888,5.2692,85.98,19,86,9.08,NE,1619495244
santa maria do para,-1.3503,-47.5756,72.7,96,30,4.25,BR,1619495245
ludvika,60.1496,15.1878,30.0,86,25,6.91,SE,1619495245
stonewall,50.1344,-97.3268,42.8,65,90,4.92,CA,1619495245
tilichiki,60.4667,166.1,31.03,99,100,1.66,RU,1619495246
riyadh,24.6877,46.7219,77.0,22,0,8.68,SA,1619495236
qeshm,26.9581,56.2719,77.0,57,71,4.61,IR,1619495246
pangnirtung,66.1451,-65.7125,33.8,86,75,3.44,CA,1619495247
saskylakh,71.9167,114.0833,14.9,86,39,7.05,RU,1619495262
arkhara,49.4212,130.0842,62.58,35,99,14.7,RU,1619495263
chumphon,10.3333,98.8333,88.0,70,20,4.61,TH,1619495263
juba,4.8517,31.5825,70.09,91,100,3.38,SS,1619495263
acapulco,16.8634,-99.8901,79.84,65,91,4.97,MX,1619495264
leshukonskoye,64.8989,45.7622,32.31,87,100,8.23,RU,1619495264
zilina,49.1667,19.1667,30.2,74,0,3.44,SK,1619495264
cao bang,22.6667,106.25,68.7,96,100,0.67,VN,1619495265
cap malheureux,-19.9842,57.6142,75.0,88,100,7.0,MU,1619495265
arraial do cabo,-22.9661,-42.0278,74.46,78,98,2.01,BR,1619495032
lorengau,-2.0226,147.2712,84.16,70,38,2.91,PG,1619495266
kiama,-34.6833,150.8667,73.99,61,8,4.0,AU,1619495266
burnie,-41.0667,145.9167,64.99,53,49,7.0,AU,1619495034
pietarsaari,63.65,22.6833,30.99,93,0,2.3,FI,1619495267
beringovskiy,63.05,179.3167,33.53,94,74,3.47,RU,1619495045
ayan,56.45,138.1667,30.47,93,100,8.37,RU,1619495267
vao,-22.6667,167.4833,73.04,66,7,19.93,NC,1619495268
ginda,30.6945,78.4932,75.96,17,0,4.65,IN,1619495268
necochea,-38.5473,-58.7368,52.56,84,0,7.9,AR,1619495268
thompson,55.7435,-97.8558,41.0,65,90,19.57,CA,1619495269
wanning,18.8003,110.3967,82.81,72,100,8.52,CN,1619495238
saint-augustin,51.226,-58.6502,36.12,91,100,31.21,CA,1619495269
bodden town,19.2833,-81.25,81.0,78,0,2.3,KY,1619495270
sungaipenuh,-2.0833,101.3833,80.76,57,34,1.88,ID,1619495270
fallon,39.4735,-118.7774,48.2,31,75,12.66,US,1619495271
barrow,71.2906,-156.7887,21.2,79,90,14.97,US,1619495271
mokhsogollokh,61.4681,128.9203,33.31,75,100,8.57,RU,1619495271
dagda,56.0951,27.5372,31.55,90,100,7.02,LV,1619495272
thaba nchu,-29.2093,26.839,41.0,81,0,5.14,ZA,1619495272
sao felix do xingu,-6.6447,-51.995,72.7,98,100,1.23,BR,1619495272
choix,26.7092,-108.3219,73.35,28,100,2.08,MX,1619495273
ballina,-28.8667,153.5667,75.2,64,1,11.5,AU,1619495273
sale,34.0389,-6.8166,62.01,82,75,13.8,MA,1619495274
cottage grove,44.8277,-92.9438,46.4,81,1,6.91,US,1619495091
xining,36.6167,101.7667,50.09,30,99,8.05,CN,1619495274
lunenburg,44.3835,-64.3155,41.0,87,100,18.41,CA,1619495115
talnakh,69.4865,88.3972,20.57,76,60,11.27,RU,1619495275
chicama,-7.8447,-79.1469,67.77,83,16,6.51,PE,1619495275
winona,43.9666,-91.7668,53.01,66,1,3.44,US,1619495276
chiang khong,20.2613,100.4046,75.2,94,40,3.44,TH,1619495276
bako,5.7833,36.5667,61.05,93,100,4.18,ET,1619495276
gwadar,25.1216,62.3254,83.91,63,0,5.99,PK,1619495169
saint-philippe,-21.3585,55.7679,75.2,88,75,20.71,RE,1619495194
cabimas,10.3883,-71.4399,79.93,79,80,17.27,VE,1619495277
taoudenni,22.6783,-3.9836,85.41,15,5,7.29,ML,1619495277
lagos,6.5833,3.75,80.6,89,40,4.52,NG,1619495278
suchindram,8.15,77.4833,86.16,68,4,7.29,IN,1619495278
tura,25.5198,90.2201,93.52,29,50,6.29,IN,1619495279
derac,19.65,-71.8167,75.38,81,8,5.93,HT,1619495279
samarai,-10.6167,150.6667,83.44,71,88,8.93,PG,1619495279
kavieng,-2.5744,150.7967,84.52,66,48,4.25,PG,1619495295
mulege,26.8833,-111.9833,66.06,57,86,7.83,MX,1619495295
alofi,-19.0595,-169.9187,82.4,83,82,9.22,NU,1619495295
jimma,7.6667,36.8333,59.11,98,100,1.63,ET,1619495296
eyl,7.9803,49.8164,82.58,73,79,3.09,SO,1619495296
jabinyanah,35.035,10.9081,64.4,77,20,13.8,TN,1619495296
gizo,-8.103,156.8419,84.09,74,95,8.59,SB,1619495297
sibut,5.718,19.0739,72.7,73,7,3.04,CF,1619495297
nouakchott,18.0858,-15.9785,68.0,73,83,6.91,MR,1619495298
segezha,63.7415,34.3222,29.93,79,86,10.69,RU,1619495298
nakasongola,1.3089,32.4564,61.93,97,27,2.15,UG,1619495298
beloha,-25.1667,45.05,70.7,71,0,5.5,MG,1619495299
wum,6.3833,10.0667,66.87,86,100,3.09,CM,1619495299
rio gallegos,-51.6226,-69.2181,51.8,62,0,4.61,AR,1619495299
cayenne,4.9333,-52.3333,75.99,100,75,1.14,GF,1619495300
truth or consequences,33.1284,-107.2528,71.6,9,1,21.85,US,1619495300
biak,-0.9131,122.8766,83.77,66,27,3.47,ID,1619495047
grafton,42.207,-71.6856,44.6,39,1,10.36,US,1619495301
kahramanmaras,38.0,37.0,53.6,87,0,5.75,TR,1619495301
velingara,13.15,-14.1167,77.77,40,51,4.05,SN,1619495301
faanui,-16.4833,-151.75,81.28,70,59,7.61,PF,1619495079
bethel,41.3712,-73.414,44.01,52,1,4.61,US,1619495062
ternate,0.8,127.4,85.3,67,25,5.41,ID,1619495222
opuwo,-18.0607,13.84,60.37,63,5,1.14,NA,1619495302
puerto baquerizo moreno,-0.9,-89.6,75.02,87,23,6.35,EC,1619495302
cravo norte,6.3017,-70.2041,84.69,53,100,2.93,CO,1619495303
terrace,54.5163,-128.6035,53.6,43,75,17.27,CA,1619495303
berlevag,70.8578,29.0864,26.6,68,40,8.05,NO,1619495303
aswan,24.0934,32.907,72.41,31,0,10.31,EG,1619495304
fandriana,-20.2333,47.3833,59.54,94,100,2.26,MG,1619495304
grand island,40.925,-98.342,75.2,41,1,10.36,US,1619495305
san andres,12.5847,-81.7006,80.6,74,90,11.5,CO,1619495305
east london,-33.0153,27.9116,62.6,82,0,5.75,ZA,1619495184
rawah,34.4816,41.9093,68.56,40,50,22.17,IQ,1619495188
castro,-24.7911,-50.0119,54.91,94,2,3.18,BR,1619495306
agadez,19.75,10.25,81.05,13,3,5.75,NE,1619495306
gat,31.61,34.7642,62.01,100,78,4.85,IL,1619495306
port-gentil,-0.7193,8.7815,81.52,78,100,4.7,GA,1619495307
alto araguaia,-17.3147,-53.2153,64.56,93,4,4.09,BR,1619495307
cockburn town,21.4612,-71.1419,78.28,74,1,13.6,TC,1619495307
teya,60.3778,92.6267,43.79,64,39,8.14,RU,1619495308
deputatskiy,69.3,139.9,28.62,97,100,3.0,RU,1619495071
port lincoln,-34.7333,135.8667,69.57,53,0,5.06,AU,1619495181
brattleboro,42.8509,-72.5579,39.0,73,8,7.16,US,1619495308
ukiah,39.1502,-123.2078,53.6,54,1,3.83,US,1619495309
bac lieu,9.285,105.7244,87.64,59,94,10.07,VN,1619495309
tabuk,17.4189,121.4443,85.3,55,99,2.46,PH,1619495310
praia da vitoria,38.7333,-27.0667,60.8,77,75,7.65,PT,1619495310
orocue,4.7912,-71.3354,83.46,63,93,1.97,CO,1619495310
port-cartier,50.0334,-66.8654,41.0,93,90,13.8,CA,1619495311
geraldton,-28.7667,114.6,87.8,20,20,3.44,AU,1619495326
marystown,47.1666,-55.1483,43.86,96,100,33.22,CA,1619495326
senanga,-16.1167,23.2667,62.94,80,56,4.79,ZM,1619495327
parobe,-29.6286,-50.8347,63.0,89,71,1.63,BR,1619495327
clyde river,70.4692,-68.5914,24.8,100,90,2.3,CA,1619495328
ngunguru,-35.6167,174.5,66.0,72,61,1.01,NZ,1619495328
miramar,25.9873,-80.2323,77.0,60,1,11.5,US,1619495216
nome,64.5011,-165.4064,46.4,49,1,8.05,US,1619495328
diego de almagro,-26.3667,-70.05,56.1,69,0,2.15,CL,1619495329
igarka,67.4667,86.5833,29.93,84,7,15.77,RU,1619495329
ranong,9.9658,98.6348,87.8,70,20,4.61,TH,1619495329
marquette,46.5333,-87.6335,34.0,94,100,9.73,US,1619495330
douglas,41.3,-96.167,80.6,47,1,8.05,US,1619495330
ribeira grande,38.5167,-28.7,60.57,85,100,3.74,PT,1619495331
broome,42.2506,-75.833,37.4,35,1,6.91,US,1619495331
norman wells,65.282,-126.8329,17.6,35,40,4.61,CA,1619495331
chokurdakh,70.6333,147.9167,27.91,84,95,3.18,RU,1619495332
upernavik,72.7868,-56.1549,32.49,73,100,4.03,GL,1619495332
barabinsk,55.3571,78.357,51.71,42,96,10.33,RU,1619495333
manaus,-3.1019,-60.025,75.2,100,20,4.61,BR,1619495333
cherskiy,68.75,161.3,25.84,75,44,5.55,RU,1619495333
kavaratti,10.5669,72.642,84.65,72,11,7.16,IN,1619495334
yavatmal,20.4,78.1333,94.51,22,100,12.17,IN,1619495334
xam nua,20.4197,104.0439,69.24,89,100,3.04,LA,1619495334
imeni poliny osipenko,52.4201,136.4853,60.39,29,100,12.17,RU,1619495335
bubaque,11.2833,-15.8333,77.47,67,43,13.13,GW,1619495336
port elizabeth,-33.918,25.5701,64.4,72,20,16.11,ZA,1619495337
serra talhada,-7.9919,-38.2983,69.26,89,57,3.33,BR,1619495337
lethem,3.3803,-59.7968,74.39,96,100,7.94,GY,1619495337
klaksvik,62.2266,-6.589,37.4,87,40,14.97,FO,1619495338
cuicatlan,17.8,-96.9667,75.85,60,1,1.5,MX,1619495338
palu,-0.8917,119.8707,86.68,73,53,3.6,ID,1619495137
paamiut,61.994,-49.6678,34.9,86,9,3.4,GL,1619495339
tuscaloosa,33.2098,-87.5692,66.2,63,1,3.44,US,1619495339
sibolga,1.7427,98.7792,83.16,73,97,2.39,ID,1619495207
andenes,69.3143,16.1194,35.6,64,75,14.97,NO,1619495340
piacabucu,-10.4056,-36.4344,76.95,85,22,5.21,BR,1619495340
sorland,67.667,12.6934,37.11,56,61,18.34,NO,1619495340
la ronge,55.1001,-105.2842,30.2,59,95,9.22,CA,1619495123
gazalkent,41.5581,69.7708,75.2,29,0,4.47,UZ,1619495341
wainwright,52.839,-110.8572,46.4,42,91,6.91,CA,1619495115
derzhavinsk,51.1,66.3167,62.37,41,100,12.37,KZ,1619495341
kenora,49.8167,-94.4337,39.2,81,90,5.75,CA,1619495193
monteiro,-7.8894,-37.12,66.79,95,67,4.9,BR,1619495342
haines junction,60.7522,-137.5108,50.0,27,38,9.22,CA,1619495161
homer,59.6425,-151.5483,51.8,37,1,8.05,US,1619495342
hasaki,35.7333,140.8333,66.0,51,75,10.36,JP,1619495343
cap-aux-meules,47.3821,-61.8597,39.2,100,100,8.05,CA,1619495343
marsabit,2.3284,37.9899,66.09,75,83,6.96,KE,1619495343
raymond,43.9015,-70.4703,39.0,65,18,4.0,US,1619495344
plouzane,48.3833,-4.6167,44.6,93,0,6.91,FR,1619495359
khingansk,49.1167,131.1833,55.81,38,100,13.49,RU,1619495359
asau,46.4333,26.4,39.99,67,100,2.53,RO,1619495360
olinda,-8.0089,-34.8553,78.8,69,40,6.91,BR,1619495360
sao joao da barra,-21.6403,-41.0511,72.32,93,36,8.21,BR,1619495361
green river,41.5286,-109.4662,37.99,75,90,13.8,US,1619495361
muravlenko,63.7898,74.523,37.06,87,66,13.0,RU,1619495361
kidal,18.4411,1.4078,84.69,26,3,5.95,ML,1619495362
kaitangata,-46.2817,169.8464,45.0,76,99,13.0,NZ,1619495362
guerrero negro,27.9769,-114.0611,59.86,77,100,15.84,MX,1619495089
okhotsk,59.3833,143.3,28.87,81,99,4.72,RU,1619495362
caravelas,-17.7125,-39.2481,74.01,84,71,5.99,BR,1619495363
nishihara,26.1842,127.7558,77.0,43,75,12.66,JP,1619495364
embu,-23.6489,-46.8522,66.2,88,75,5.75,BR,1619495365
wonthaggi,-38.6044,145.5913,64.0,76,84,6.31,AU,1619495365
bilibino,68.0546,166.4372,26.6,72,100,3.27,RU,1619495365
jibuti,11.5,42.5,78.8,78,75,3.15,DJ,1619495366
cairns,-16.9167,145.7667,80.6,69,40,19.57,AU,1619495205
nelson bay,-32.7167,152.15,71.01,64,40,9.22,AU,1619495366
sao jose dos pinhais,-25.5347,-49.2064,60.01,94,90,8.05,BR,1619495084
srednekolymsk,67.45,153.6833,29.61,78,55,6.58,RU,1619495214
goderich,43.7501,-81.7165,44.6,53,100,9.22,CA,1619495085
saint-louis,16.3333,-15.0,78.8,50,0,2.3,SN,1619495367
nouadhibou,20.931,-17.0347,64.4,94,0,11.5,MR,1619495164
sfantu gheorghe,45.8667,25.7833,41.0,83,100,2.57,RO,1619495368
beyneu,45.3167,55.2,75.97,35,100,13.98,KZ,1619495368
half moon bay,37.4636,-122.4286,51.01,81,1,14.97,US,1619495369
laguna,38.421,-121.4238,59.0,44,1,12.66,US,1619495369
iqaluit,63.7506,-68.5145,21.2,86,90,13.8,CA,1619495369
huarmey,-10.0681,-78.1522,66.58,89,5,9.48,PE,1619495370
marawi,7.9986,124.2928,82.99,80,96,5.99,PH,1619495370
pitimbu,-7.4706,-34.8086,75.2,94,20,3.44,BR,1619495370
manoel urbano,-8.8389,-69.2597,70.59,97,94,2.42,BR,1619495371
amga,60.8953,131.9608,42.19,76,100,4.12,RU,1619495371
anamur,36.0751,32.8369,55.4,88,0,3.44,TR,1619495371
vila franca do campo,37.7167,-25.4333,59.0,82,40,9.22,PT,1619495372
sehithwa,-20.4667,22.7167,62.74,31,21,3.8,BW,1619495372
kalyazin,57.2403,37.8433,35.33,74,69,2.71,RU,1619495373
souillac,-20.5167,57.5167,75.2,94,75,12.66,MU,1619495212
sao filipe,14.8961,-24.4956,72.66,74,93,9.82,CV,1619495167
port hardy,50.6996,-127.4199,50.0,87,75,2.3,CA,1619495373
manacapuru,-3.2997,-60.6206,73.4,94,40,3.44,BR,1619495374
namtsy,62.7161,129.6658,35.6,69,75,11.18,RU,1619495374
silver city,32.7701,-108.2803,60.8,12,1,10.36,US,1619495374
grants pass,42.439,-123.3284,55.4,66,1,4.61,US,1619495375
luau,-10.7073,22.2247,64.6,92,99,3.15,AO,1619495375
outjo,-20.1167,16.15,61.05,38,4,4.68,NA,1619495375
aguililla,18.7333,-102.7333,71.87,40,87,5.21,MX,1619495376
comodoro rivadavia,-45.8667,-67.5,66.2,42,0,28.77,AR,1619495376
nemuro,43.3236,145.575,53.6,35,20,14.97,JP,1619495105
mangrol,21.1167,70.1167,85.84,57,9,10.31,IN,1619495391
jacareacanga,-6.2222,-57.7528,72.36,99,100,0.76,BR,1619495392
lao cai,22.4833,103.95,74.64,92,100,1.79,VN,1619495141
kralendijk,12.15,-68.2667,80.6,74,85,11.5,BQ,1619495392
mildura,-34.2,142.15,71.01,40,1,4.61,AU,1619495393
nanortalik,60.1432,-45.2371,33.93,93,68,10.85,GL,1619495156
guapi,2.5708,-77.8854,74.8,95,100,2.75,CO,1619495393
luanda,-8.8368,13.2343,75.2,88,75,6.91,AO,1619495209
xai-xai,-25.0519,33.6442,66.06,95,8,6.49,MZ,1619495394
ardmore,34.1743,-97.1436,72.0,68,1,13.8,US,1619495394
kahului,20.8947,-156.47,78.8,73,40,6.91,US,1619495394
road town,18.4167,-64.6167,78.01,84,2,4.0,VG,1619495190
koumac,-20.5667,164.2833,76.05,68,59,20.78,NC,1619495120
boende,-0.2167,20.8667,74.25,90,95,2.19,CD,1619495395
meulaboh,4.1363,96.1285,85.01,67,98,4.07,ID,1619495395
aljezur,37.3191,-8.8033,57.0,92,58,4.74,PT,1619495396
prince rupert,54.3161,-130.3201,53.6,58,1,3.44,CA,1619495396
paciran,-6.8767,112.3761,85.78,67,32,5.91,ID,1619495172
sisimiut,66.9395,-53.6735,32.77,99,100,8.77,GL,1619495397
ixtapa,20.7,-105.2,77.0,83,75,6.91,MX,1619495397
maxixe,-23.8597,35.3472,62.6,100,20,5.5,MZ,1619495398
brewster,41.3973,-73.6171,42.8,52,1,4.61,US,1619495398
lubumbashi,-11.6609,27.4794,61.66,94,100,2.93,CD,1619495398
cabo san lucas,22.8909,-109.9124,73.4,43,90,18.99,MX,1619495344
fuling,29.7022,107.3919,73.72,65,78,3.44,CN,1619495399
shimoda,34.6667,138.95,64.4,55,40,8.05,JP,1619495206
khash,28.2211,61.2158,76.5,21,25,1.83,IR,1619495400
jalu,29.0331,21.5482,65.48,34,1,6.26,LY,1619495400
magadan,59.5667,150.8,26.13,74,41,5.7,RU,1619495400
myitkyina,25.3833,97.4,101.75,16,5,3.04,MM,1619495401
vanderhoof,54.0166,-124.0198,47.17,46,0,11.72,CA,1619495167
boone,39.0334,-92.3335,75.2,46,1,13.8,US,1619495401
doka,13.5167,35.7667,75.79,63,96,3.15,SD,1619495402
viedma,-40.8135,-62.9967,56.46,56,0,10.29,AR,1619495208
jingdezhen,29.2947,117.2079,65.79,91,100,3.04,CN,1619495402
kingsburg,36.5138,-119.554,62.6,34,1,8.05,US,1619495403
krasnorechenskiy,44.6265,135.3532,61.75,25,91,5.64,RU,1619495403
victor harbor,-35.5667,138.6167,64.0,70,53,4.9,AU,1619495403
santa rosa,14.3122,121.1114,86.0,68,87,4.0,PH,1619495404
poya,-21.35,165.15,75.54,65,53,13.71,NC,1619495404
longyearbyen,78.2186,15.6401,17.6,62,20,12.66,SJ,1619495405
